No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,important,393,0.15,12,116,5.33
2,that,16670,6.32,168,208,3.73
3,this,10530,3.99,74,208,3.21
4,in,42898,16.25,182,226,2.49
5,will,3403,1.29,12,194,2.22
6,from,11140,4.22,29,211,1.78
7,is,19461,7.37,48,225,1.70
8,is,19461,7.37,44,225,1.58
9,an,5674,2.15,12,218,1.48
10,by,17381,6.59,34,227,1.37
11,a,31571,11.96,54,225,1.17
12,the,162075,61.41,246,227,1.00
13,be,13743,5.21,20,222,0.94
14,which,16291,6.17,23,214,0.90
15,was,9291,3.52,13,205,0.88
16,it,15123,5.73,21,214,0.87
17,by,17381,6.59,20,227,0.60
18,with,12684,4.81,12,224,0.32
19,that,16670,6.32,15,208,0.25
20,in,42898,16.25,37,226,0.19
21,a,31571,11.96,27,225,0.17
22,the,162075,61.41,136,227,0.15
23,to,36391,13.79,30,227,0.12
24,of,94257,35.71,49,227,-0.54
25,and,41502,15.72,21,227,-0.58
26,to,36391,13.79,14,227,-0.98
27,of,94257,35.71,32,227,-1.16
28,and,41502,15.72,14,227,-1.17
