No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,28370,13.14,332,312,3.66
2,in,76894,35.61,681,318,3.26
3,this,16788,7.78,105,312,2.76
4,if,6157,2.85,29,297,2.35
5,we,10795,5.00,37,280,1.89
6,is,39702,18.39,125,313,1.77
7,from,20019,9.27,63,315,1.76
8,which,26195,12.13,58,315,1.26
9,are,18556,8.59,40,310,1.22
10,is,39702,18.39,80,313,1.12
11,it,23594,10.93,46,312,1.07
12,by,28482,13.19,52,319,0.98
13,i,12975,6.01,23,303,0.94
14,the,295673,136.93,486,319,0.83
15,as,24441,11.32,36,314,0.67
16,the,295673,136.93,373,319,0.45
17,be,26307,12.18,32,314,0.39
18,to,63464,29.39,68,316,0.21
19,a,61470,28.47,65,316,0.19
20,in,76894,35.61,81,318,0.19
21,a,61470,28.47,63,316,0.15
22,to,63464,29.39,55,316,-0.10
23,that,28370,13.14,22,312,-0.26
24,of,187103,86.65,119,319,-0.54
25,and,77614,35.95,41,319,-0.81
26,of,187103,86.65,61,319,-1.51
