No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,familiarity,156,0.00,6,55,12.45
2,fact,3136,0.02,10,901,8.86
3,science,10035,0.07,28,1524,8.67
