No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,181,0.07,10,61,7.26
2,interesting,296,0.11,14,102,7.04
3,important,449,0.16,10,132,5.95
4,remarkable,483,0.17,10,126,5.85
5,that,20638,7.43,148,240,4.32
6,this,12625,4.54,58,238,3.67
7,in,50819,18.29,221,259,3.60
8,will,4281,1.54,10,226,2.70
9,one,5758,2.07,10,233,2.27
10,is,24024,8.64,38,257,2.14
11,a,38758,13.95,49,258,1.81
12,which,19881,7.15,24,245,1.75
13,the,195974,70.52,216,260,1.62
14,i,11632,4.19,9,245,1.10
15,as,17040,6.13,10,251,0.71
16,it,19115,6.88,11,244,0.68
17,in,50819,18.29,22,259,0.27
18,a,38758,13.95,16,258,0.20
19,of,113727,40.92,43,260,0.07
20,to,43843,15.78,16,259,0.02
21,the,195974,70.52,54,260,-0.38
22,and,50535,18.18,13,260,-0.48
