Context,Collocate
"Years 1683-1692: Registers, matters of fact not true, .",of
Years 1683-1692: trill matter of fact and experiment confirm,of
Years 1683-1692: which marters of faCt are made to,of
Years 1683-1692: the matter of FaCt be- ing most,of
Years 1683-1692: trill matter of fact and experiment confirm,and
