No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,in,27504,6.17,92,220,3.90
2,this,8967,2.01,25,206,3.64
3,a,25947,5.82,28,224,2.27
4,but,5834,1.31,6,205,2.20
5,is,14708,3.30,15,212,2.18
6,i,9234,2.07,8,207,1.95
7,which,13326,2.99,11,209,1.88
8,that,14244,3.20,10,209,1.65
9,was,9975,2.24,6,202,1.42
10,the,110415,24.77,56,227,1.18
11,be,12879,2.89,6,211,1.05
12,and,31055,6.97,14,223,1.01
13,a,25947,5.82,11,224,0.92
14,in,27504,6.17,7,220,0.18
15,to,29506,6.62,7,217,0.08
16,the,110415,24.77,21,227,-0.24
17,of,70652,15.85,8,227,-0.99
18,of,70652,15.85,7,227,-1.18
