Context,Collocate
"Years 1672-1681: manifest Matters of Fact do bear evidence,",of
"Years 1672-1681: manifest Matters of Fact do bear evidence,",of
Years 1672-1681: recedent matters of fact surveyed aud compared,of
Years 1672-1681: the matter of fact be true ;,of
"Years 1672-1681: and Nature,matter of Fact and confirmed by",of
"Years 1672-1681: and Nature,matter of Fact and confirmed by",of
