No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,129,0.05,11,64,7.70
2,important,410,0.17,11,125,6.04
3,remarkable,498,0.20,12,129,5.88
4,that,17942,7.34,166,234,4.50
5,this,11339,4.64,80,232,4.11
6,general,1282,0.52,9,172,4.10
7,in,50769,20.76,230,240,3.47
8,which,18082,7.39,33,234,2.16
9,is,23579,9.64,42,237,2.12
10,i,9740,3.98,17,225,2.09
11,a,36184,14.80,51,237,1.79
12,it,16728,6.84,23,234,1.75
13,the,196957,80.53,248,240,1.62
14,was,10845,4.43,13,224,1.55
15,of,116509,47.64,90,240,0.92
16,in,50769,20.76,23,240,0.15
17,to,41707,17.05,16,238,-0.09
18,a,36184,14.80,12,237,-0.30
19,the,196957,80.53,50,240,-0.69
