No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,118,0.03,12,71,8.57
2,singular,75,0.02,6,37,8.22
3,important,152,0.04,5,90,6.94
4,general,769,0.21,8,165,5.28
5,however,697,0.19,5,100,4.74
6,in,24382,6.54,84,295,3.68
7,that,11207,3.01,32,278,3.41
8,this,7386,1.98,21,282,3.41
9,which,10296,2.76,15,283,2.44
10,i,7142,1.92,8,284,2.06
11,is,13005,3.49,14,288,2.00
12,the,100036,26.84,86,299,1.68
13,this,7386,1.98,6,282,1.60
14,as,8013,2.15,6,281,1.48
15,it,11054,2.97,7,279,1.24
16,a,22181,5.95,13,300,1.13
17,in,24382,6.54,13,295,0.99
18,of,62890,16.87,31,296,0.88
19,a,22181,5.95,10,300,0.75
20,and,26481,7.10,9,298,0.34
21,the,100036,26.84,15,299,-0.84
