Context,Collocate
"Years 1679-1688: Registers, matters of fact not true, .",of
Years 1679-1688: trill matter of fact and experiment confirm,of
Years 1679-1688: which marters of faCt are made to,of
Years 1679-1688: the matter of FaCt be- ing most,of
Years 1679-1688: trill matter of fact and experiment confirm,and
