Context,Collocate
"Years 1680-1689: Registers, matters of fact not true, .",of
Years 1680-1689: trill matter of fact and experiment confirm,of
Years 1680-1689: which marters of faCt are made to,of
Years 1680-1689: the matter of FaCt be- ing most,of
Years 1680-1689: trill matter of fact and experiment confirm,and
