Context,Collocate
"Years 1682-1691: Registers, matters of fact not true, .",of
Years 1682-1691: trill matter of fact and experiment confirm,of
Years 1682-1691: which marters of faCt are made to,of
Years 1682-1691: the matter of FaCt be- ing most,of
Years 1682-1691: trill matter of fact and experiment confirm,and
