No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,126,0.03,12,72,8.61
2,singular,101,0.02,6,48,7.93
3,new,472,0.11,9,144,6.29
4,this,8042,1.95,26,295,3.73
5,that,12890,3.13,40,294,3.67
6,in,29524,7.17,68,316,3.24
7,which,10846,2.64,14,295,2.41
8,is,13300,3.23,17,306,2.40
9,a,24621,5.98,28,315,2.23
10,the,122597,29.79,105,318,1.82
11,i,8467,2.06,6,293,1.54
12,was,8728,2.12,6,287,1.50
13,as,9166,2.23,6,300,1.43
14,in,29524,7.17,13,316,0.86
15,of,73443,17.85,28,317,0.65
16,and,33531,8.15,9,318,0.14
17,to,28961,7.04,6,311,-0.23
18,the,122597,29.79,20,318,-0.57
