Context,Collocate
"Years 1673-1682: manifest Matters of Fact do bear evidence,",of
"Years 1673-1682: manifest Matters of Fact do bear evidence,",of
Years 1673-1682: recedent matters of fact surveyed aud compared,of
Years 1673-1682: the matter of fact be true ;,of
"Years 1673-1682: and Nature,matter of Fact and confirmed by",of
"Years 1673-1682: and Nature,matter of Fact and confirmed by",of
