Context,Collocate
"Years 1670-1679: manifest Matters of Fact do bear evidence,",of
"Years 1670-1679: manifest Matters of Fact do bear evidence,",of
Years 1670-1679: recedent matters of fact surveyed aud compared,of
Years 1670-1679: the matter of fact be true ;,of
"Years 1670-1679: and Nature,matter of Fact and confirmed by",of
"Years 1670-1679: and Nature,matter of Fact and confirmed by",of
