No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,137,0.04,11,74,8.22
2,singular,98,0.03,7,46,8.05
3,new,580,0.16,8,141,5.68
4,general,760,0.20,7,173,5.10
5,however,912,0.25,6,150,4.61
6,that,12951,3.48,43,289,3.63
7,this,8386,2.25,24,290,3.41
8,in,28989,7.79,81,310,3.38
9,which,10971,2.95,17,292,2.53
10,is,13404,3.60,17,301,2.24
11,a,24261,6.52,24,311,1.88
12,i,8316,2.24,8,290,1.84
13,the,121451,32.66,112,314,1.78
14,as,9254,2.49,7,295,1.49
15,in,28989,7.79,15,310,0.94
16,of,73280,19.70,35,313,0.83
17,and,32125,8.64,11,314,0.35
18,a,24261,6.52,8,311,0.29
19,to,28752,7.73,7,305,-0.14
20,the,121451,32.66,22,314,-0.57
