Context,Collocate
"Years 1676-1685: Registers, matters of fact not true, .",of
Years 1676-1685: trill matter of fact and experiment confirm,of
Years 1676-1685: which marters of faCt are made to,of
Years 1676-1685: trill matter of fact and experiment confirm,and
