No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,important,107,0.03,5,60,7.61
2,this,7794,1.87,37,209,4.31
3,in,24719,5.92,77,221,3.70
4,a,22745,5.44,27,227,2.31
5,which,12049,2.88,14,208,2.28
6,that,12931,3.10,14,208,2.18
7,is,13093,3.13,14,217,2.16
8,but,5180,1.24,5,204,2.01
9,was,8450,2.02,6,203,1.57
10,i,8137,1.95,5,209,1.36
11,as,8548,2.05,5,211,1.29
12,the,96393,23.07,49,227,1.09
13,and,27862,6.67,14,224,1.07
14,be,11235,2.69,5,212,0.89
15,in,24719,5.92,8,221,0.44
16,of,66029,15.80,18,228,0.19
17,to,25250,6.04,6,218,-0.01
18,the,96393,23.07,17,227,-0.44
19,of,66029,15.80,6,228,-1.40
