No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,22841,9.29,317,233,5.09
2,in,69215,28.14,462,239,4.04
3,this,16065,6.53,64,232,3.29
4,if,4788,1.95,18,209,3.21
5,the,272285,110.70,396,239,1.84
6,for,13728,5.58,19,236,1.77
7,it,21135,8.59,22,234,1.36
8,is,40884,16.62,38,235,1.19
9,which,22688,9.22,18,234,0.96
10,a,54546,22.18,25,239,0.17
11,of,163086,66.30,66,238,-0.01
12,a,54546,22.18,21,239,-0.08
13,to,52468,21.33,19,237,-0.17
14,the,272285,110.70,91,239,-0.28
15,in,69215,28.14,23,239,-0.29
16,and,70933,28.84,16,238,-0.85
