Context,Collocate
Years 1707-1716: Matter . of Fact : known (143),of
Years 1707-1716: by matter of Fact ; which take,of
Years 1707-1716: relace Matter of Fact as to the,of
Years 1707-1716: be matter of Fact ; and that,of
Years 1707-1716: the Matters of Fact in the within,of
Years 1707-1716: the Matters of Fact in the within,of
