No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,155,0.04,9,68,7.83
2,that,15126,3.87,58,288,3.90
3,this,9574,2.45,33,286,3.75
4,in,36831,9.43,120,311,3.67
5,if,3142,0.80,10,242,3.64
6,which,13905,3.56,22,287,2.63
7,is,17469,4.47,24,302,2.42
8,a,32071,8.21,37,309,2.17
9,the,152723,39.09,119,311,1.61
10,i,10129,2.59,7,289,1.43
11,to,35556,9.10,12,309,0.40
12,of,89241,22.84,29,311,0.34
13,in,36831,9.43,10,311,0.09
14,the,152723,39.09,30,311,-0.38
15,and,41047,10.51,7,310,-0.59
