Context,Collocate
"Years 1678-1687: Registers, matters of fact not true, .",of
Years 1678-1687: trill matter of fact and experiment confirm,of
Years 1678-1687: which marters of faCt are made to,of
Years 1678-1687: the matter of FaCt be- ing most,of
Years 1678-1687: trill matter of fact and experiment confirm,and
