Context,Collocate
"Years 1681-1690: Registers, matters of fact not true, .",of
Years 1681-1690: trill matter of fact and experiment confirm,of
Years 1681-1690: which marters of faCt are made to,of
Years 1681-1690: the matter of FaCt be- ing most,of
Years 1681-1690: trill matter of fact and experiment confirm,and
