No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,46596,23.58,1270,315,5.75
2,in,121068,61.26,612,317,3.32
3,this,29789,15.07,140,314,3.22
4,the,487601,246.73,1335,316,2.44
5,which,35776,18.10,67,315,1.89
6,we,20623,10.44,32,302,1.62
7,it,35049,17.74,40,316,1.17
8,is,75923,38.42,79,316,1.04
9,a,116332,58.87,89,317,0.60
10,as,41707,21.10,25,316,0.24
11,a,116332,58.87,45,317,-0.39
12,of,277789,140.56,92,317,-0.61
13,the,487601,246.73,154,316,-0.68
14,in,121068,61.26,35,317,-0.81
15,to,100642,50.93,28,316,-0.86
16,of,277789,140.56,58,317,-1.28
