Context,Collocate
Years 1675-1684: the matter of fact be true ;,of
"Years 1675-1684: and Nature,matter of Fact and confirmed by",of
"Years 1675-1684: and Nature,matter of Fact and confirmed by",of
"Years 1675-1684: Registers, matters of fact not true, .",of
"Years 1675-1684: and Nature,matter of Fact and confirmed by",and
"Years 1675-1684: and Nature,matter of Fact and confirmed by",and
