Context,Collocate
"Years 1677-1686: Registers, matters of fact not true, .",of
Years 1677-1686: trill matter of fact and experiment confirm,of
Years 1677-1686: which marters of faCt are made to,of
Years 1677-1686: the matter of FaCt be- ing most,of
Years 1677-1686: trill matter of fact and experiment confirm,and
