No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,139,0.03,13,76,8.72
2,new,505,0.11,8,156,6.16
3,this,8201,1.82,26,297,3.84
4,that,13266,2.94,39,298,3.73
5,in,31200,6.91,69,319,3.32
6,which,11531,2.55,15,297,2.55
7,a,26321,5.83,30,317,2.36
8,is,14331,3.17,14,309,2.14
9,was,8785,1.95,7,283,1.85
10,the,129921,28.77,95,320,1.72
11,to,30909,6.85,9,317,0.39
12,of,76816,17.01,21,320,0.30
13,in,31200,6.91,7,319,0.02
14,and,35216,7.80,7,319,-0.16
15,the,129921,28.77,21,320,-0.45
