No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,31163,15.21,724,234,5.57
2,important,759,0.37,16,155,5.43
3,in,81961,40.00,433,238,3.44
4,this,21566,10.53,104,235,3.30
5,the,331655,161.87,781,238,2.27
6,we,12910,6.30,17,216,1.43
7,which,24487,11.95,32,235,1.42
8,it,24134,11.78,29,233,1.30
9,is,54027,26.37,51,235,0.95
10,a,67823,33.10,44,235,0.41
11,as,28581,13.95,17,235,0.29
12,of,179287,87.50,77,238,-0.18
13,in,81961,40.00,34,238,-0.23
14,a,67823,33.10,26,235,-0.35
15,the,331655,161.87,103,238,-0.65
16,of,179287,87.50,38,238,-1.20
