No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,113,0.03,8,61,8.17
2,general,762,0.19,7,151,5.22
3,this,7455,1.84,26,255,3.82
4,in,24258,5.98,81,267,3.76
5,that,11526,2.84,30,252,3.40
6,which,10632,2.62,15,255,2.52
7,is,13420,3.31,18,262,2.44
8,i,7604,1.87,7,257,1.90
9,it,11166,2.75,9,254,1.71
10,the,97053,23.91,74,272,1.63
11,as,7946,1.96,6,256,1.62
12,this,7455,1.84,5,255,1.44
13,a,22014,5.42,13,272,1.26
14,be,10548,2.60,5,258,0.94
15,of,61917,15.26,22,270,0.53
16,a,22014,5.42,7,272,0.37
17,in,24258,5.98,7,267,0.23
18,and,25792,6.35,6,270,-0.08
19,the,97053,23.91,15,272,-0.67
