author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
George Downing Liveing,1888-12-31,10.1098/rsta.1888.0002,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1888.0002,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1888.0002?download=true,/doi/epdf/10.1098/rsta.1888.0002,The Royal SocietyLondon,[''],II. On the spectrum of the oxy-hydrogen flame
James Joseph Sylvester,1888-12-31,10.1098/rsta.1888.0004,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1888.0004,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1888.0004?download=true,/doi/epdf/10.1098/rsta.1888.0004,The Royal SocietyLondon,[''],IV. On Hamilton's numbers.—Part II
I. T. Chapman and S. C. Cowley and H. R. Wilson,2024-10-9,rsta20230416,"['fusion energy', 'magnetic confinement fusion', 'plasma physics']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0416,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0416?download=true,/doi/epdf/10.1098/rsta.2023.0416,The Royal Society,"['fusion energy', 'magnetic confinement fusion', 'plasma physics', 'energy', 'nuclear physics', 'plasma physics', 'power and energy systems']",The Spherical Tokamak for Energy Production theme issue introduction
Adam Baker,2024-10-9,rsta20230401,"['fusion energy', 'government policy', 'public investment', 'STEP']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0401,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0401?download=true,/doi/epdf/10.1098/rsta.2023.0401,The Royal Society,"['fusion energy', 'government policy', 'public investment', 'STEP', 'energy']",The Spherical Tokamak for Energy Production (STEP) in context UK public sector approach to fusion energy
Auregan Boyet and Víctor Vilarrasa and Jonny Rutqvist and Silvia De Simone,2024-8-9,rsta20230179,"['induced seismicity', 'enhanced geothermal system']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0179,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0179?download=true,/doi/epdf/10.1098/rsta.2023.0179,The Royal Society,"['induced seismicity', 'enhanced geothermal system', 'geophysics']",Forecasting fluid-injection induced seismicity to choose the best injection strategy for safety and efficiency
George Howard Darwin,1889-12-31,10.1098/rsta.1889.0001,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1889.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1889.0001?download=true,/doi/epdf/10.1098/rsta.1889.0001,The Royal SocietyLondon,[''],"I. On the mechanical conditions of a swarm of meteorites, and on theories of cosmogony"
Charles Vernon Boys,1889-12-31,10.1098/rsta.1889.0005,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1889.0005,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1889.0005?download=true,/doi/epdf/10.1098/rsta.1889.0005,The Royal SocietyLondon,[''],V. The radio-micrometer
Sean T. Vittadello and Thomas Leyshon and David Schnoerr and Michael P. H. Stumpf,2021-12-27,10.1098/rsta.2020.0272,"['pattern formation', 'positional information', 'design principles']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0272,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0272?download=true,/doi/epdf/10.1098/rsta.2020.0272,The Royal Society,"['pattern formation', 'positional information', 'design principles', 'biomathematics', 'cellular biophysics', 'computational biology', 'mathematical modelling']",Turing pattern design principles and their robustness
I. A. Khovanov,2021-5-31,10.1098/rsta.2020.0245,"['energy harvesting', 'bistable system', 'harmonic noise', 'stochastic resonance', 'vibrational resonance']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0245,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0245?download=true,/doi/epdf/10.1098/rsta.2020.0245,The Royal Society Publishing,"['energy harvesting', 'bistable system', 'harmonic noise', 'stochastic resonance', 'vibrational resonance', 'mathematical modelling', 'mechanical engineering', 'power and energy systems']",The response of a bistable energy harvester to different excitations the harvesting efficiency and links with stochastic and vibrational resonances
Douwe Jan Bonthuis and Yuki Uematsu and Roland R. Netz,2016-2-13,10.1098/rsta.2015.0033,"['aqueous interfaces', 'dielectric tensor', 'viscosity tensor', 'mobility', 'capacitance']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0033,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0033?download=true,/doi/epdf/10.1098/rsta.2015.0033,The Royal Society Publishing,"['aqueous interfaces', 'dielectric tensor', 'viscosity tensor', 'mobility', 'capacitance', 'biophysics', 'chemical physics', 'nanotechnology']",Interfacial layer effects on surface capacitances and electro-osmosis in electrolytes
