https://example.com/collocation-analysis
There are 3883798 different words in your collocation database for "facts". (Your query returned 1223 matches in 266 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	10042	1.18	81	262	4.10
2	are	24311	2.85	54	262	2.24
3	that	36109	4.24	55	262	1.70
4	which	25600	3.01	36	263	1.58
5	with	26830	3.15	29	265	1.20
6	be	30566	3.59	28	265	0.96
7	the	362916	42.61	320	265	0.91
8	to	77114	9.05	66	265	0.87
9	of	206247	24.22	144	266	0.57
10	in	96855	11.37	63	266	0.47
11	to	77114	9.05	46	265	0.35
12	the	362916	42.61	156	265	-0.13
13	and	92511	10.86	38	266	-0.19
14	of	206247	24.22	78	266	-0.31
15	in	96855	11.37	29	266	-0.65
