https://example.com/collocation-analysis
There are 1984309 different words in your collocation database for "facts". (Your query returned 2018 matches in 260 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	recorded	125	0.03	14	40	6.71
2	stated	505	0.14	21	123	5.28
3	many	1346	0.36	18	184	3.64
4	these	6352	1.70	75	229	3.46
5	appears	1252	0.34	14	190	3.38
6	such	2316	0.62	17	205	2.78
7	some	2929	0.78	17	226	2.44
8	have	8635	2.31	45	235	2.28
9	all	3882	1.04	19	224	2.19
10	i	11632	3.11	52	245	2.06
11	from	13302	3.56	56	245	1.98
12	been	5084	1.36	20	238	1.88
13	which	19881	5.32	73	245	1.78
14	are	10776	2.88	39	252	1.76
15	other	5101	1.37	15	235	1.46
16	we	5876	1.57	16	216	1.35
17	with	15074	4.03	39	256	1.27
18	that	20638	5.52	53	240	1.26
19	but	7644	2.05	18	238	1.14
20	to	43843	11.73	89	259	0.92
21	with	15074	4.03	30	256	0.89
22	be	17120	4.58	34	253	0.89
23	this	12625	3.38	25	238	0.89
24	in	50819	13.60	97	259	0.83
25	by	18649	4.99	31	260	0.64
26	the	195974	52.44	323	260	0.62
27	it	19115	5.12	31	244	0.60
28	are	10776	2.88	17	252	0.56
29	on	13387	3.58	20	259	0.48
30	as	17040	4.56	25	251	0.45
31	by	18649	4.99	27	260	0.44
32	of	113727	30.43	156	260	0.36
33	as	17040	4.56	21	251	0.20
34	and	50535	13.52	58	260	0.10
35	to	43843	11.73	47	259	0.00
36	that	20638	5.52	21	240	-0.07
37	the	195974	52.44	163	260	-0.36
38	is	24024	6.43	17	257	-0.60
39	a	38758	10.37	27	258	-0.62
40	and	50535	13.52	30	260	-0.85
41	in	50819	13.60	29	259	-0.91
42	of	113727	30.43	59	260	-1.04
43	a	38758	10.37	20	258	-1.05
