No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,416171,95.15,5532,6714,5.86
2,in,1212259,277.16,4244,6775,3.94
3,the,2802791,640.80,5446,6797,3.09
4,the,2802791,640.80,740,6797,0.21
