No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,485,0.26,32,110,4.97
2,owing,613,0.32,38,118,4.88
3,that,24122,12.74,862,162,4.08
4,due,1692,0.89,57,152,4.00
5,view,1197,0.63,34,142,3.75
6,in,69483,36.69,522,162,1.83
7,they,4321,2.28,32,157,1.81
8,this,15823,8.35,113,162,1.76
9,there,4890,2.58,30,159,1.54
10,by,21428,11.31,124,162,1.45
11,has,6769,3.57,33,161,1.21
12,is,44222,23.35,209,162,1.16
13,from,17485,9.23,74,162,1.00
14,it,18091,9.55,74,162,0.95
15,been,6370,3.36,26,160,0.95
16,have,8226,4.34,33,161,0.93
17,to,50232,26.52,197,162,0.89
18,the,258001,136.22,977,162,0.84
19,we,8296,4.38,29,153,0.73
20,but,8259,4.36,28,162,0.68
21,as,20564,10.86,68,162,0.65
22,are,20223,10.68,66,161,0.63
23,is,44222,23.35,142,162,0.60
24,it,18091,9.55,55,162,0.53
25,not,9103,4.81,26,162,0.44
26,was,9406,4.97,26,160,0.39
27,was,9406,4.97,26,160,0.39
28,the,258001,136.22,695,162,0.35
29,be,19810,10.46,49,162,0.23
30,which,17074,9.01,39,161,0.11
31,be,19810,10.46,44,162,0.07
32,with,18112,9.56,40,161,0.06
33,and,66309,35.01,146,162,0.06
34,in,69483,36.69,151,162,0.04
35,for,16539,8.73,35,161,0.00
36,a,59363,31.34,124,162,-0.02
37,this,15823,8.35,33,162,-0.02
38,are,20223,10.68,39,161,-0.13
39,for,16539,8.73,28,161,-0.32
40,of,140943,74.42,222,162,-0.42
41,on,18598,9.82,29,162,-0.44
42,with,18112,9.56,27,161,-0.50
43,to,50232,26.52,74,162,-0.52
44,a,59363,31.34,87,162,-0.53
45,of,140943,74.42,205,162,-0.54
46,as,20564,10.86,28,162,-0.63
47,and,66309,35.01,38,162,-1.88
