No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27105,12.59,350,307,2.80
2,this,15858,7.36,152,307,2.37
3,in,73397,34.08,696,314,2.35
4,if,5949,2.76,32,294,1.53
5,is,37390,17.36,181,308,1.38
6,we,10434,4.84,42,275,1.12
7,is,37390,17.36,134,308,0.95
8,not,10205,4.74,32,306,0.76
9,which,25196,11.70,77,311,0.72
10,are,17275,8.02,50,305,0.64
11,from,18844,8.75,54,311,0.63
12,have,11131,5.17,31,306,0.58
13,it,22501,10.45,62,307,0.57
14,it,22501,10.45,61,307,0.55
15,as,23265,10.80,59,309,0.45
16,have,11131,5.17,28,306,0.44
17,this,15858,7.36,37,307,0.33
18,the,281938,130.91,644,315,0.30
19,i,12398,5.76,28,300,0.28
20,to,60669,28.17,135,312,0.26
21,be,25436,11.81,56,310,0.25
22,by,27474,12.76,60,315,0.23
23,the,281938,130.91,582,315,0.15
24,to,60669,28.17,124,312,0.14
25,for,15052,6.99,30,315,0.10
26,a,59231,27.50,117,312,0.09
27,by,27474,12.76,53,315,0.05
28,of,178551,82.91,326,315,-0.02
29,which,25196,11.70,46,311,-0.02
30,in,73397,34.08,132,314,-0.05
31,a,59231,27.50,105,312,-0.07
32,are,17275,8.02,28,305,-0.20
33,and,73563,34.16,116,315,-0.24
34,be,25436,11.81,40,310,-0.24
35,as,23265,10.80,35,309,-0.30
36,that,27105,12.59,39,307,-0.37
37,with,22221,10.32,28,311,-0.56
38,of,178551,82.91,192,315,-0.79
39,and,73563,34.16,51,315,-1.42
