No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,137,0.04,14,74,6.57
2,that,12951,3.48,75,289,2.43
3,this,8386,2.25,44,290,2.29
4,is,13404,3.60,50,301,1.79
5,in,28989,7.79,93,310,1.58
6,but,4607,1.24,13,296,1.39
7,it,11979,3.22,31,289,1.27
8,which,10971,2.95,28,292,1.25
9,is,13404,3.60,34,301,1.24
10,a,24261,6.52,54,311,1.05
11,i,8316,2.24,17,290,0.93
12,from,9034,2.43,17,301,0.81
13,was,8540,2.30,16,285,0.80
14,as,9254,2.49,14,295,0.49
15,the,121451,32.66,183,314,0.49
16,by,12692,3.41,19,310,0.48
17,in,28989,7.79,39,310,0.32
18,be,11233,3.02,15,296,0.31
19,as,9254,2.49,12,295,0.27
20,of,73280,19.70,94,313,0.25
21,a,24261,6.52,31,311,0.25
22,that,12951,3.48,15,289,0.11
23,by,12692,3.41,14,310,0.04
24,be,11233,3.02,12,296,-0.01
25,the,121451,32.66,127,314,-0.04
26,it,11979,3.22,12,289,-0.10
27,to,28752,7.73,27,305,-0.20
28,to,28752,7.73,27,305,-0.20
29,of,73280,19.70,62,313,-0.35
30,and,32125,8.64,25,314,-0.47
31,and,32125,8.64,22,314,-0.65
