No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,23159,10.11,254,266,2.65
2,this,14062,6.14,141,264,2.52
3,in,63806,27.86,491,270,2.14
4,is,32122,14.02,155,266,1.47
5,being,5246,2.29,25,256,1.45
6,is,32122,14.02,123,266,1.13
7,we,7858,3.43,26,226,0.92
8,not,9033,3.94,27,264,0.78
9,which,23091,10.08,68,266,0.75
10,it,21034,9.18,60,265,0.71
11,but,8435,3.68,24,264,0.70
12,i,11532,5.03,31,257,0.62
13,from,16715,7.30,44,268,0.59
14,by,23394,10.21,61,270,0.58
15,was,12868,5.62,32,251,0.51
16,by,23394,10.21,57,270,0.48
17,the,244283,106.65,560,271,0.39
18,it,21034,9.18,46,265,0.32
19,of,151244,66.03,319,271,0.27
20,a,48856,21.33,97,267,0.19
21,the,244283,106.65,450,271,0.08
22,be,22388,9.77,40,266,0.03
23,to,53079,23.17,94,269,0.02
24,to,53079,23.17,94,269,0.02
25,and,63614,27.77,111,271,-0.00
26,that,23159,10.11,40,266,-0.02
27,this,14062,6.14,24,264,-0.03
28,be,22388,9.77,38,266,-0.04
29,with,18950,8.27,32,268,-0.05
30,a,48856,21.33,81,267,-0.07
31,in,63806,27.86,100,270,-0.16
32,which,23091,10.08,36,266,-0.16
33,as,20551,8.97,32,265,-0.17
34,at,17443,7.62,26,267,-0.23
35,as,20551,8.97,29,265,-0.31
36,with,18950,8.27,25,268,-0.40
37,of,151244,66.03,139,271,-0.93
38,and,63614,27.77,36,271,-1.63
