No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,139,0.03,15,76,6.93
2,that,13266,2.94,62,298,2.40
3,this,8201,1.82,37,297,2.35
4,is,14331,3.17,47,309,1.89
5,in,31200,6.91,79,319,1.52
6,which,11531,2.55,28,297,1.45
7,it,12125,2.69,28,298,1.38
8,is,14331,3.17,30,309,1.24
9,a,26321,5.83,54,317,1.21
10,was,8785,1.95,15,283,0.95
11,by,13351,2.96,21,316,0.83
12,from,9506,2.11,14,308,0.73
13,as,9688,2.15,14,303,0.71
14,be,11890,2.63,16,301,0.60
15,to,30909,6.85,41,317,0.58
16,the,129921,28.77,149,320,0.37
17,that,13266,2.94,14,298,0.25
18,in,31200,6.91,31,319,0.17
19,by,13351,2.96,13,316,0.14
20,of,76816,17.01,71,320,0.06
21,a,26321,5.83,23,317,-0.02
22,to,30909,6.85,25,317,-0.13
23,the,129921,28.77,103,320,-0.16
24,of,76816,17.01,44,320,-0.63
25,and,35216,7.80,20,319,-0.64
26,and,35216,7.80,17,319,-0.88
