No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,remarkable,547,0.26,22,245,4.43
2,due,1106,0.52,26,245,3.65
3,that,24304,11.37,466,245,3.36
4,this,17128,8.01,143,245,2.16
5,in,69736,32.61,544,245,2.06
6,only,4215,1.97,28,245,1.83
7,if,4507,2.11,21,245,1.32
8,being,4996,2.34,23,245,1.30
9,is,40941,19.15,183,245,1.26
10,all,4910,2.30,20,245,1.12
11,by,23526,11.00,90,245,1.03
12,these,8457,3.96,32,245,1.02
13,from,18614,8.71,70,245,1.01
14,has,6490,3.04,24,245,0.98
15,been,6226,2.91,22,245,0.92
16,may,5984,2.80,20,245,0.84
17,not,9819,4.59,31,245,0.76
18,we,9238,4.32,29,245,0.75
19,an,8147,3.81,24,245,0.66
20,we,9238,4.32,26,245,0.59
21,was,14474,6.77,39,245,0.53
22,to,56328,26.34,150,245,0.51
23,be,19293,9.02,51,245,0.50
24,it,21256,9.94,56,245,0.49
25,the,279579,130.75,721,245,0.46
26,i,10585,4.95,27,245,0.45
27,but,10418,4.87,26,245,0.42
28,is,40941,19.15,99,245,0.37
29,as,22621,10.58,54,245,0.35
30,be,19293,9.02,45,245,0.32
31,by,23526,11.00,53,245,0.27
32,it,21256,9.94,47,245,0.24
33,in,69736,32.61,154,245,0.24
34,are,16400,7.67,36,245,0.23
35,this,17128,8.01,37,245,0.21
36,which,22609,10.57,48,245,0.18
37,have,10911,5.10,23,245,0.17
38,a,57633,26.95,121,245,0.17
39,for,12963,6.06,27,245,0.15
40,the,279579,130.75,575,245,0.14
41,not,9819,4.59,20,245,0.12
42,was,14474,6.77,28,245,0.05
43,to,56328,26.34,105,245,-0.01
44,a,57633,26.95,106,245,-0.02
45,at,16958,7.93,31,245,-0.03
46,for,12963,6.06,23,245,-0.08
47,as,22621,10.58,39,245,-0.12
48,and,69231,32.38,114,245,-0.18
49,of,162367,75.93,267,245,-0.19
50,on,20214,9.45,33,245,-0.20
51,with,20589,9.63,32,245,-0.27
52,from,18614,8.71,28,245,-0.31
53,that,24304,11.37,36,245,-0.34
54,which,22609,10.57,33,245,-0.36
55,are,16400,7.67,23,245,-0.42
56,on,20214,9.45,21,245,-0.85
57,of,162367,75.93,168,245,-0.85
58,with,20589,9.63,20,245,-0.95
59,and,69231,32.38,51,245,-1.34
