No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,due,1034,0.45,23,249,3.66
2,that,23712,10.43,434,249,3.38
3,this,16300,7.17,131,249,2.19
4,in,71494,31.46,556,249,2.14
5,only,4279,1.88,26,249,1.79
6,if,4385,1.93,26,249,1.75
7,being,5023,2.21,23,249,1.38
8,is,41369,18.20,184,249,1.34
9,has,6333,2.79,23,249,1.05
10,by,23804,10.47,84,249,1.00
11,we,8475,3.73,29,249,0.96
12,been,6177,2.72,21,249,0.95
13,from,18374,8.08,62,249,0.94
14,we,8475,3.73,28,249,0.91
15,these,7966,3.51,26,249,0.89
16,not,9828,4.32,32,249,0.89
17,was,14204,6.25,36,249,0.53
18,have,10372,4.56,26,249,0.51
19,to,54967,24.19,137,249,0.50
20,i,10079,4.43,25,249,0.49
21,an,8068,3.55,20,249,0.49
22,be,18656,8.21,46,249,0.49
23,be,18656,8.21,45,249,0.45
24,the,281329,123.79,675,249,0.45
25,it,21627,9.52,51,249,0.42
26,but,10306,4.53,24,249,0.40
27,is,41369,18.20,92,249,0.34
28,have,10372,4.56,23,249,0.33
29,it,21627,9.52,47,249,0.30
30,in,71494,31.46,144,249,0.19
31,for,12940,5.69,26,249,0.19
32,the,281329,123.79,562,249,0.18
33,by,23804,10.47,47,249,0.17
34,are,16286,7.17,32,249,0.16
35,a,56307,24.78,108,249,0.12
36,as,22685,9.98,42,249,0.07
37,which,22418,9.86,41,249,0.06
38,a,56307,24.78,101,249,0.03
39,to,54967,24.19,98,249,0.02
40,this,16300,7.17,29,249,0.02
41,at,16239,7.15,28,249,-0.03
42,was,14204,6.25,24,249,-0.06
43,on,19494,8.58,32,249,-0.10
44,for,12940,5.69,21,249,-0.12
45,and,70912,31.20,109,249,-0.20
46,with,20633,9.08,31,249,-0.23
47,as,22685,9.98,34,249,-0.23
48,of,162110,71.33,241,249,-0.24
49,from,18374,8.08,27,249,-0.26
50,that,23712,10.43,33,249,-0.34
51,which,22418,9.86,30,249,-0.40
52,are,16286,7.17,20,249,-0.52
53,of,162110,71.33,151,249,-0.92
54,and,70912,31.20,53,249,-1.24
