No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,898,0.47,71,290,5.25
2,owing,910,0.47,43,290,4.51
3,that,39090,20.24,1251,290,3.95
4,due,3064,1.59,98,290,3.95
5,this,25132,13.01,196,290,1.91
6,they,6322,3.27,45,290,1.78
7,in,104698,54.21,681,290,1.65
8,also,5844,3.03,32,290,1.40
9,has,9009,4.67,46,290,1.30
10,by,35654,18.46,177,290,1.26
11,there,6944,3.60,34,290,1.24
12,all,7377,3.82,34,290,1.15
13,is,61027,31.60,273,290,1.11
14,from,24442,12.66,106,290,1.07
15,to,81080,41.98,323,290,0.94
16,we,17500,9.06,69,290,0.93
17,the,390379,202.15,1478,290,0.87
18,when,9408,4.87,34,290,0.80
19,it,28267,14.64,102,290,0.80
20,is,61027,31.60,220,290,0.80
21,as,32355,16.75,116,290,0.79
22,which,28109,14.56,92,290,0.66
23,it,28267,14.64,89,290,0.60
24,are,26790,13.87,84,290,0.60
25,have,14226,7.37,43,290,0.55
26,not,15565,8.06,44,290,0.45
27,be,31942,16.54,90,290,0.44
28,the,390379,202.15,1010,290,0.32
29,were,12412,6.43,31,290,0.27
30,but,13270,6.87,33,290,0.26
31,an,12901,6.68,31,290,0.21
32,have,14226,7.37,34,290,0.21
33,for,26534,13.74,60,290,0.13
34,a,97771,50.63,218,290,0.11
35,this,25132,13.01,55,290,0.08
36,we,17500,9.06,38,290,0.07
37,in,104698,54.21,214,290,-0.02
38,with,28617,14.82,57,290,-0.06
39,be,31942,16.54,63,290,-0.07
40,are,26790,13.87,52,290,-0.09
41,was,26122,13.53,50,290,-0.11
42,and,98512,51.01,178,290,-0.20
43,to,81080,41.98,145,290,-0.21
44,as,32355,16.75,57,290,-0.23
45,a,97771,50.63,169,290,-0.26
46,at,25861,13.39,44,290,-0.28
47,with,28617,14.82,48,290,-0.30
48,of,217885,112.83,347,290,-0.38
49,by,35654,18.46,56,290,-0.40
50,for,26534,13.74,41,290,-0.42
51,on,29856,15.46,46,290,-0.43
52,of,217885,112.83,328,290,-0.46
53,was,26122,13.53,39,290,-0.47
54,and,98512,51.01,51,290,-2.00
