No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,547,0.29,47,230,5.32
2,owing,693,0.37,48,230,5.01
3,that,32436,17.47,1125,230,4.01
4,due,2516,1.36,83,230,3.94
5,view,1571,0.85,25,230,2.88
6,this,20973,11.30,168,230,1.89
7,they,5633,3.03,45,230,1.89
8,all,5951,3.21,42,230,1.71
9,in,90657,48.83,562,230,1.52
10,by,27867,15.01,164,230,1.45
11,also,5113,2.75,29,230,1.40
12,there,6506,3.50,35,230,1.32
13,only,5465,2.94,26,230,1.14
14,is,52318,28.18,244,230,1.11
15,from,21550,11.61,96,230,1.05
16,has,7989,4.30,35,230,1.02
17,to,67693,36.46,286,230,0.97
18,no,7164,3.86,30,230,0.96
19,if,6249,3.37,26,230,0.95
20,the,325426,175.28,1283,230,0.87
21,we,11787,6.35,43,230,0.76
22,have,11634,6.27,40,230,0.67
23,not,12988,7.00,44,230,0.65
24,as,27325,14.72,90,230,0.61
25,it,23684,12.76,77,230,0.59
26,are,23996,12.92,74,230,0.52
27,these,9158,4.93,28,230,0.50
28,is,52318,28.18,153,230,0.44
29,which,23987,12.92,67,230,0.37
30,it,23684,12.76,66,230,0.37
31,but,10542,5.68,29,230,0.35
32,be,26327,14.18,72,230,0.34
33,the,325426,175.28,867,230,0.31
34,with,23274,12.54,61,230,0.28
35,i,9978,5.37,25,230,0.22
36,not,12988,7.00,32,230,0.19
37,this,20973,11.30,51,230,0.17
38,was,19179,10.33,45,230,0.12
39,are,23996,12.92,55,230,0.09
40,a,75966,40.92,170,230,0.05
41,be,26327,14.18,58,230,0.03
42,we,11787,6.35,25,230,-0.02
43,for,22058,11.88,46,230,-0.05
44,in,90657,48.83,186,230,-0.07
45,and,80933,43.59,156,230,-0.16
46,for,22058,11.88,40,230,-0.25
47,with,23274,12.54,42,230,-0.26
48,to,67693,36.46,117,230,-0.32
49,a,75966,40.92,130,230,-0.33
50,at,21680,11.68,35,230,-0.42
51,as,27325,14.72,44,230,-0.42
52,of,178863,96.34,270,230,-0.51
53,of,178863,96.34,268,230,-0.52
54,was,19179,10.33,28,230,-0.56
55,from,21550,11.61,29,230,-0.68
56,on,24000,12.93,29,230,-0.83
57,by,27867,15.01,32,230,-0.91
58,that,32436,17.47,29,230,-1.27
59,and,80933,43.59,54,230,-1.69
