No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,387,0.18,28,124,5.29
2,due,1214,0.56,45,124,4.33
3,that,18204,8.39,560,124,4.06
4,view,927,0.43,17,124,3.31
5,they,3874,1.79,31,124,2.12
6,in,52164,24.05,369,124,1.94
7,this,12751,5.88,82,124,1.80
8,all,3508,1.62,20,124,1.63
9,is,34643,15.97,174,124,1.45
10,by,16865,7.78,78,124,1.33
11,it,14123,6.51,62,124,1.25
12,there,4013,1.85,17,124,1.20
13,only,3613,1.67,15,124,1.17
14,the,193740,89.33,641,124,0.84
15,to,37090,17.10,121,124,0.82
16,not,7084,3.27,21,124,0.68
17,be,15751,7.26,46,124,0.66
18,it,14123,6.51,40,124,0.62
19,was,7771,3.58,22,124,0.62
20,not,7084,3.27,20,124,0.61
21,these,5408,2.49,15,124,0.59
22,are,16028,7.39,43,124,0.54
23,is,34643,15.97,92,124,0.53
24,from,13381,6.17,35,124,0.50
25,the,193740,89.33,445,124,0.32
26,be,15751,7.26,31,124,0.09
27,which,12990,5.99,25,124,0.06
28,are,16028,7.39,30,124,0.02
29,on,13688,6.31,25,124,-0.01
30,in,52164,24.05,90,124,-0.10
31,as,14444,6.66,24,124,-0.15
32,for,13966,6.44,23,124,-0.16
33,and,53710,24.76,87,124,-0.19
34,a,44816,20.66,71,124,-0.22
35,for,13966,6.44,21,124,-0.29
36,to,37090,17.10,55,124,-0.31
37,that,18204,8.39,26,124,-0.37
38,of,109036,50.27,154,124,-0.38
39,with,14564,6.72,19,124,-0.50
40,from,13381,6.17,17,124,-0.54
41,a,44816,20.66,56,124,-0.56
42,as,14444,6.66,17,124,-0.65
43,of,109036,50.27,121,124,-0.73
44,with,14564,6.72,15,124,-0.84
45,and,53710,24.76,30,124,-1.72
