No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27033,12.74,591,258,3.54
2,due,1520,0.72,33,258,3.53
3,this,19095,9.00,161,258,2.16
4,in,74642,35.17,516,258,1.87
5,only,5108,2.41,29,258,1.59
6,all,5579,2.63,27,258,1.36
7,by,23565,11.10,114,258,1.36
8,is,45251,21.32,206,258,1.27
9,if,4964,2.34,22,258,1.23
10,when,5830,2.75,25,258,1.19
11,from,18975,8.94,77,258,1.11
12,there,5398,2.54,21,258,1.05
13,has,6608,3.11,25,258,1.01
14,they,6124,2.89,22,258,0.93
15,these,9226,4.35,33,258,0.92
16,to,59852,28.20,188,258,0.74
17,we,11254,5.30,33,258,0.64
18,the,291851,137.51,830,258,0.59
19,we,11254,5.30,32,258,0.59
20,it,22134,10.43,61,258,0.55
21,be,20449,9.63,56,258,0.54
22,it,22134,10.43,59,258,0.50
23,i,11077,5.22,29,258,0.47
24,not,10697,5.04,28,258,0.47
25,was,14535,6.85,38,258,0.47
26,is,45251,21.32,115,258,0.43
27,an,8660,4.08,22,258,0.43
28,have,11671,5.50,29,258,0.40
29,but,11715,5.52,28,258,0.34
30,in,74642,35.17,178,258,0.34
31,not,10697,5.04,25,258,0.31
32,are,19654,9.26,44,258,0.25
33,have,11671,5.50,26,258,0.24
34,for,13688,6.45,30,258,0.22
35,this,19095,9.00,41,258,0.19
36,was,14535,6.85,31,258,0.18
37,as,25250,11.90,53,258,0.16
38,a,58336,27.49,118,258,0.10
39,the,291851,137.51,585,258,0.09
40,by,23565,11.10,47,258,0.08
41,which,22137,10.43,43,258,0.04
42,be,20449,9.63,39,258,0.02
43,with,22025,10.38,41,258,-0.02
44,which,22137,10.43,41,258,-0.03
45,as,25250,11.90,45,258,-0.08
46,a,58336,27.49,102,258,-0.11
47,of,163077,76.84,276,258,-0.16
48,at,17057,8.04,28,258,-0.20
49,to,59852,28.20,96,258,-0.23
50,and,73966,34.85,114,258,-0.29
51,are,19654,9.26,26,258,-0.51
52,that,27033,12.74,33,258,-0.63
53,on,22088,10.41,25,258,-0.74
54,with,22025,10.38,24,258,-0.79
55,on,22088,10.41,23,258,-0.86
56,of,163077,76.84,161,258,-0.93
57,and,73966,34.85,42,258,-1.73
