No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,foundation,11,0.01,2,5,8.04
2,Apart,48,0.03,5,24,7.24
3,spite,72,0.05,6,22,6.92
4,recognition,24,0.02,2,10,6.92
5,Rhoeo,37,0.03,3,2,6.88
6,supported,54,0.04,4,23,6.75
7,owing,92,0.06,6,27,6.56
8,attention,59,0.04,3,23,6.20
9,confirmed,60,0.04,3,27,6.18
10,butterfly,46,0.03,2,1,5.98
11,accepted,47,0.03,2,19,5.95
12,beyond,77,0.05,3,29,5.82
13,concerning,55,0.04,2,20,5.72
14,quantitative,56,0.04,2,14,5.69
15,attributed,62,0.04,2,17,5.55
16,explained,67,0.05,2,19,5.43
17,support,103,0.07,3,29,5.40
18,suggests,143,0.10,4,33,5.34
19,mere,74,0.05,2,13,5.29
20,depend,76,0.05,2,20,5.25
