No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,disproved,3,0.00,2,2,9.59
2,well-established,3,0.00,2,2,9.59
3,ontogenetic,10,0.01,3,4,8.44
4,well-known,21,0.02,5,12,8.10
5,despite,11,0.01,2,8,7.71
6,observable,11,0.01,2,6,7.71
7,relating,12,0.01,2,8,7.59
8,Taking,15,0.01,2,10,7.27
9,emerges,23,0.02,3,11,7.23
10,mind,23,0.02,3,11,7.23
11,accounted,27,0.02,3,18,7.00
12,curious,36,0.03,4,18,7.00
13,presented,45,0.04,4,25,6.68
14,ascertained,34,0.03,3,10,6.67
15,supported,152,0.13,13,36,6.63
16,attention,83,0.07,7,37,6.61
17,outstanding,26,0.02,2,19,6.47
18,brings,28,0.02,2,22,6.37
19,inferred,30,0.03,2,13,6.27
20,emphasized,46,0.04,3,22,6.23
