No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,unaware,3,0.00,2,2,9.49
2,strengthened,4,0.00,2,4,9.07
3,conjunction,7,0.01,2,6,8.26
4,mortality,9,0.01,2,2,7.90
5,spite,38,0.04,8,17,7.82
6,accordance,10,0.01,2,8,7.75
7,establish,10,0.01,2,10,7.75
8,lends,10,0.01,2,8,7.75
9,allowing,12,0.01,2,5,7.49
10,despite,12,0.01,2,3,7.49
11,outcome,12,0.01,2,3,7.49
12,overlooked,13,0.01,2,8,7.37
13,Apart,20,0.02,3,14,7.33
14,dried,14,0.01,2,5,7.26
15,Owing,37,0.03,5,23,7.18
16,retaining,17,0.02,2,8,6.98
17,significant,61,0.06,7,17,6.95
18,attention,63,0.06,7,23,6.90
19,keeping,20,0.02,2,11,6.75
20,explain,32,0.03,3,19,6.66
