No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,Upon,3,0.00,2,2,8.84
2,struck,11,0.02,5,6,8.28
3,significant,10,0.01,3,8,7.68
4,Taking,18,0.03,4,9,7.25
5,confirmation,12,0.02,2,5,6.84
6,strengthened,12,0.02,2,5,6.84
7,relating,13,0.02,2,8,6.72
8,well-known,21,0.03,3,11,6.61
9,spite,26,0.04,3,13,6.31
10,Drew,18,0.03,2,1,6.25
11,accord,28,0.04,3,10,6.20
12,suggestive,19,0.03,2,8,6.17
13,verified,20,0.03,2,5,6.10
14,ascertained,23,0.03,2,10,5.90
15,anatomical,49,0.07,4,10,5.81
16,summarised,26,0.04,2,14,5.72
17,Such,83,0.12,6,25,5.63
18,explanation,98,0.14,7,25,5.61
19,Though,28,0.04,2,11,5.61
20,matter,172,0.25,11,27,5.45
