No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,contradicted,2,0.00,2,2,9.72
2,strengthened,7,0.01,3,6,8.49
3,undoubted,5,0.01,2,4,8.39
4,explicable,6,0.01,2,4,8.13
5,acquisition,6,0.01,2,2,8.13
6,evidenced,7,0.01,2,6,7.91
7,agricultural,11,0.01,3,1,7.84
8,experienced,10,0.01,2,8,7.39
9,revealed,12,0.01,2,6,7.13
10,fundamental,19,0.02,3,9,7.05
11,attention,103,0.12,16,27,7.03
12,accounted,20,0.02,3,12,6.98
13,relating,44,0.05,5,8,6.58
14,illustration,23,0.03,2,8,6.19
15,accordance,24,0.03,2,14,6.13
16,explain,36,0.04,3,17,6.13
17,significance,25,0.03,2,8,6.07
18,undoubtedly,25,0.03,2,16,6.07
19,mere,28,0.03,2,18,5.91
20,supported,29,0.03,2,18,5.86
