No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,despite,7,0.01,3,5,8.72
2,Apart,10,0.01,2,8,7.62
3,happened,10,0.01,2,6,7.62
4,spite,44,0.04,7,18,7.29
5,solely,13,0.01,2,7,7.24
6,supported,41,0.04,5,19,6.90
7,concerning,26,0.03,3,15,6.82
8,emphasised,18,0.02,2,10,6.77
9,demonstrate,20,0.02,2,10,6.62
10,owing,150,0.15,14,35,6.52
11,establish,24,0.02,2,16,6.35
12,responsible,24,0.02,2,13,6.35
13,recognise,37,0.04,3,18,6.31
14,matter,126,0.13,10,35,6.28
15,experimental,77,0.08,6,16,6.26
16,explain,39,0.04,3,19,6.24
17,complicated,28,0.03,2,14,6.13
18,elimination,29,0.03,2,6,6.08
19,Owing,30,0.03,2,21,6.03
20,attention,108,0.11,7,33,5.99
