No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,51,0.07,5,33,6.19
2,spite,70,0.09,6,33,5.99
3,matter,406,0.55,27,75,5.63
4,arises,108,0.15,7,45,5.59
5,remarkable,197,0.26,11,72,5.38
6,owing,399,0.54,19,99,5.15
7,accordance,106,0.14,5,47,5.13
8,explained,254,0.34,11,81,5.01
9,established,128,0.17,5,41,4.86
10,supported,128,0.17,5,49,4.86
11,recorded,274,0.37,10,62,4.76
12,due,1533,2.06,53,123,4.68
13,lie,464,0.62,16,68,4.68
14,attention,188,0.25,6,85,4.57
15,interesting,215,0.29,6,79,4.38
16,pointed,234,0.31,6,91,4.25
17,partly,196,0.26,5,60,4.25
18,account,709,0.95,17,104,4.16
19,expected,214,0.29,5,69,4.12
20,brought,276,0.37,6,88,4.02
21,together,450,0.60,9,97,3.90
22,indicated,358,0.48,7,92,3.86
23,view,825,1.11,16,104,3.85
24,agreement,292,0.39,5,73,3.67
25,regard,557,0.75,7,80,3.23
26,already,759,1.02,9,120,3.14
27,new,764,1.03,8,109,2.96
28,known,633,0.85,6,107,2.82
29,follows,531,0.71,5,111,2.81
30,latter,909,1.22,8,113,2.71
31,seems,591,0.79,5,101,2.65
32,appears,684,0.92,5,105,2.44
33,observed,1408,1.89,10,109,2.40
34,certain,863,1.16,6,116,2.37
35,shown,1968,2.65,13,127,2.30
36,observed,1408,1.89,9,109,2.25
37,negative,806,1.08,5,65,2.21
38,following,1154,1.55,7,125,2.17
39,even,1041,1.40,6,118,2.10
40,possible,882,1.19,5,124,2.08
41,hydrogen,1264,1.70,6,40,1.82
42,also,2813,3.78,13,132,1.78
43,shown,1968,2.65,9,127,1.77
44,first,2570,3.45,11,132,1.67
45,water,1895,2.55,8,82,1.65
46,case,3758,5.05,15,130,1.57
47,point,2295,3.08,9,121,1.54
48,must,1296,1.74,5,126,1.52
49,may,3911,5.26,14,132,1.41
50,leaf,1531,2.06,5,20,1.28
51,second,1578,2.12,5,126,1.24
52,large,1587,2.13,5,123,1.23
53,value,4680,6.29,13,89,1.05
54,change,1919,2.58,5,109,0.95
55,number,2390,3.21,6,127,0.90
56,obtained,2092,2.81,5,125,0.83
57,light,2134,2.87,5,86,0.80
58,found,2639,3.55,6,131,0.76
59,cell,2712,3.65,5,45,0.46
60,may,3911,5.26,7,132,0.41
61,temperature,4747,6.38,7,72,0.13
62,fig,5311,7.14,7,22,-0.03
