No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,spite,97,0.11,16,47,7.18
2,recognition,32,0.04,5,21,7.10
3,supported,128,0.15,15,54,6.69
4,matter,327,0.37,24,92,6.01
5,owing,412,0.47,20,92,5.42
6,attention,235,0.27,11,80,5.36
7,correlated,107,0.12,5,29,5.36
8,complicated,113,0.13,5,49,5.28
9,confirmed,144,0.16,6,61,5.20
10,due,1108,1.26,45,128,5.16
11,remarkable,206,0.23,8,63,5.10
12,explanation,311,0.35,12,82,5.09
13,interesting,390,0.44,15,96,5.08
14,significant,168,0.19,5,47,4.71
15,view,1174,1.33,34,124,4.67
16,explained,189,0.21,5,59,4.54
17,none,241,0.27,5,73,4.19
18,lie,937,1.06,19,92,4.16
19,brought,268,0.30,5,74,4.04
20,indicated,487,0.55,7,98,3.66
21,following,919,1.04,12,127,3.52
22,account,936,1.06,12,125,3.50
23,interest,395,0.45,5,92,3.48
24,observed,995,1.13,12,108,3.41
25,known,953,1.08,11,127,3.34
26,important,498,0.57,5,101,3.14
27,ridge,503,0.57,5,21,3.13
28,already,846,0.96,8,117,3.06
29,together,666,0.76,6,116,2.99
30,considerable,607,0.69,5,120,2.86
31,many,745,0.85,6,111,2.83
32,great,646,0.73,5,116,2.77
33,although,777,0.88,6,111,2.76
34,primary,688,0.78,5,56,2.68
35,almost,875,0.99,6,115,2.59
36,seems,762,0.87,5,109,2.53
37,follows,800,0.91,5,123,2.46
38,could,877,1.00,5,114,2.33
39,observation,1060,1.20,6,63,2.32
40,appears,941,1.07,5,119,2.23
41,shown,2041,2.32,10,130,2.11
42,group,1659,1.88,8,95,2.09
43,general,1340,1.52,6,128,1.98
44,must,1513,1.72,6,127,1.80
45,made,2094,2.38,8,136,1.75
46,first,2971,3.38,11,135,1.70
47,however,1662,1.89,6,36,1.67
48,may,4302,4.89,15,136,1.62
49,development,2043,2.32,7,100,1.59
50,give,1561,1.77,5,125,1.50
51,also,2938,3.34,9,137,1.43
52,show,2351,2.67,7,129,1.39
53,described,1744,1.98,5,124,1.34
54,would,1860,2.11,5,130,1.24
55,case,2377,2.70,6,120,1.15
56,specimen,2204,2.50,5,58,1.00
57,solution,2417,2.75,5,86,0.86
58,small,2437,2.77,5,135,0.85
59,also,2938,3.34,6,137,0.85
60,point,2943,3.34,6,130,0.84
61,found,2627,2.98,5,133,0.74
62,part,4418,5.02,7,137,0.48
63,form,3704,4.21,5,133,0.25
