No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,spite,118,0.11,20,50,7.53
2,borne,82,0.08,9,35,6.90
3,arises,210,0.19,13,66,6.08
4,supported,116,0.11,7,50,6.04
5,concerning,157,0.14,8,47,5.80
6,confirmed,128,0.12,5,51,5.41
7,owing,344,0.32,10,87,4.99
8,account,662,0.61,17,103,4.81
9,view,970,0.89,24,117,4.76
10,due,1461,1.34,32,132,4.58
11,suggests,244,0.22,5,79,4.48
12,arise,309,0.28,6,68,4.41
13,actual,339,0.31,5,92,4.01
14,drawn,352,0.32,5,84,3.96
15,lie,935,0.86,13,86,3.92
16,using,842,0.77,10,112,3.70
17,provided,467,0.43,5,113,3.55
18,together,591,0.54,6,118,3.47
19,observed,1124,1.03,9,105,3.13
20,far,670,0.61,5,112,3.03
21,usually,671,0.61,5,99,3.02
22,use,834,0.76,6,122,2.97
23,follows,882,0.81,6,95,2.89
24,initial,757,0.69,5,84,2.85
25,main,760,0.70,5,106,2.84
26,observed,1124,1.03,7,105,2.77
27,although,1007,0.92,6,112,2.70
28,record,903,0.83,5,45,2.60
29,following,909,0.83,5,132,2.59
30,larva,1292,1.18,7,8,2.56
31,lead,942,0.86,5,77,2.53
32,even,1010,0.93,5,125,2.43
33,used,1778,1.63,7,131,2.10
34,experiment,1613,1.48,5,46,1.76
35,obtained,2005,1.84,6,130,1.71
36,curve,1798,1.65,5,86,1.60
37,type,2439,2.23,6,117,1.43
38,shown,2098,1.92,5,133,1.38
39,large,2134,1.95,5,133,1.36
40,would,2236,2.05,5,137,1.29
41,found,2274,2.08,5,136,1.26
42,cell,2731,2.50,6,31,1.26
43,also,3088,2.83,6,140,1.09
44,time,2626,2.41,5,120,1.06
45,equation,3712,3.40,7,77,1.04
46,part,3407,3.12,6,138,0.94
47,form,4183,3.83,6,135,0.65
48,value,4921,4.51,6,119,0.41
49,value,4921,4.51,6,119,0.41
50,form,4183,3.83,5,135,0.38
51,figure,6485,5.94,7,126,0.24
