No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,reveals,19,0.02,6,6,8.24
2,matter,84,0.09,8,22,6.51
3,attention,80,0.08,7,23,6.39
4,due,274,0.29,14,32,5.62
5,owing,122,0.13,6,28,5.56
6,important,180,0.19,7,29,5.22
7,view,319,0.33,8,29,4.59
8,shown,489,0.51,7,31,3.78
9,many,366,0.38,5,32,3.71
10,may,1122,1.17,5,33,2.10
