No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,82,0.08,9,30,6.79
2,interesting,197,0.19,12,71,5.94
3,explain,85,0.08,5,36,5.89
4,attention,162,0.16,7,65,5.45
5,explanation,174,0.17,7,62,5.35
6,express,190,0.19,7,57,5.22
7,probable,252,0.25,7,68,4.81
8,evident,207,0.20,5,64,4.61
9,important,291,0.29,7,79,4.60
10,yet,464,0.46,8,88,4.12
