"","Year","Collocate","MI Score"
"235",1822,"some",3.43
"236",1823,"respecting",6.48
"237",1823,"stated",5.56
"238",1823,"new",4.82
"239",1823,"many",4.58
"240",1823,"these",4
"241",1823,"following",3.74
"242",1823,"some",3.37
"243",1824,"stated",5.52
"244",1824,"many",4.49
"245",1824,"these",3.87
"246",1824,"some",3.18
"247",1825,"stated",5.3
"248",1825,"many",4.27
"249",1825,"these",3.89
"250",1826,"stated",5.44
"251",1826,"many",4.21
"252",1826,"these",3.97
"253",1827,"stated",5.88
"254",1827,"preceding",4.13
"255",1827,"many",4.12
"256",1827,"paper",3.81
"257",1827,"appears",3.79
"258",1827,"these",3.68
"259",1827,"such",3.1
"260",1828,"stated",5.79
"261",1828,"many",4.08
"262",1828,"these",3.83
"263",1828,"appears",3.63
"264",1828,"such",3
"265",1829,"stated",5.66
"266",1829,"many",4
"267",1829,"these",3.74
"268",1829,"appears",3.52
"269",1830,"stated",5.64
"270",1830,"many",3.78
"271",1830,"these",3.75
"272",1831,"stated",5.43
"273",1831,"many",3.68
"274",1831,"these",3.62
"275",1832,"stated",5.35
"276",1832,"many",3.62
"277",1832,"these",3.6
"278",1833,"recorded",6.71
"279",1833,"stated",5.28
"280",1833,"many",3.64
"281",1833,"these",3.46
"282",1833,"appears",3.38
"283",1834,"recorded",6.9
"284",1834,"stated",5.35
"285",1834,"connected",4.42
"286",1834,"many",3.71
"287",1834,"these",3.44
"288",1835,"recorded",6.99
"289",1835,"respecting",6.15
"290",1835,"stated",5.36
"291",1835,"connected",4.78
"292",1835,"many",3.53
"293",1835,"these",3.49
"294",1835,"observed",3.2
"295",1836,"recorded",7.24
"296",1836,"stated",5.39
"297",1836,"connected",4.8
"298",1836,"these",3.53
"299",1836,"many",3.46
"300",1836,"some",3.06
"301",1837,"recorded",7.24
"302",1837,"connected",4.82
"303",1837,"these",3.65
"304",1837,"some",3.22
"305",1838,"recorded",7.25
"306",1838,"these",3.42
"307",1838,"observed",3.09
"308",1839,"recorded",7.3
"309",1839,"known",4.87
"310",1839,"these",3.51
"311",1839,"observed",3.11
"312",1839,"now",3.03
"313",1840,"recorded",7.14
"314",1840,"these",3.39
"315",1840,"now",3.24
"316",1841,"stated",5.24
"317",1841,"these",3.7
"318",1841,"some",3.12
"319",1841,"now",3.09
"320",1842,"these",3.8
"321",1842,"some",3.2
"322",1843,"these",3.86
"323",1843,"some",3.03
"324",1844,"these",3.92
"325",1845,"these",3.86
"326",1846,"these",3.85
"327",1847,"these",3.87
"328",1848,"these",3.92
"329",1849,"these",4.06
"330",1850,"these",4.06
"331",1851,"these",3.96
"332",1852,"these",4.01
"333",1853,"these",4.03
"334",1854,"these",3.97
"335",1855,"these",3.97
"336",1856,"these",3.95
"337",1857,"these",3.84
"338",1858,"these",3.92
"339",1859,"these",3.65
"340",1860,"these",3.69
"341",1861,"these",3.66
"342",1862,"these",3.69
"343",1863,"these",3.66
"344",1864,"these",3.67
"345",1865,"these",3.8
"346",1866,"these",3.73
"347",1867,"these",3.88
"348",1868,"these",3.75
"349",1868,"all",3.11
"350",1869,"these",3.8
"351",1869,"all",3.16
"352",1870,"these",3.81
"353",1870,"all",3.21
"354",1871,"these",3.77
"355",1871,"all",3.35
"356",1872,"these",3.76
"357",1872,"all",3.13
"358",1873,"these",3.87
"359",1873,"all",3.06
"360",1874,"these",3.91
"361",1874,"all",3.14
"362",1875,"these",3.89
"363",1875,"all",3.15
"364",1876,"these",3.93
"365",1876,"all",3.2
"366",1877,"these",3.95
"367",1877,"all",3.15
"368",1878,"these",3.94
"369",1879,"these",4.06
"370",1880,"these",4
"371",1881,"these",4.06
"372",1882,"following",4.47
"373",1882,"these",4.07
"374",1883,"these",3.97
"375",1883,"all",3.14
"376",1884,"these",3.97
"377",1884,"all",3.04
"378",1885,"these",3.98
"379",1886,"these",3.91
"380",1887,"these",3.97
"381",1888,"these",4.02
"382",1889,"these",3.9
"383",1890,"these",3.93
"384",1891,"these",3.98
"385",1892,"these",3.99
"386",1893,"these",4.01
"387",1894,"these",4.01
"388",1895,"these",4.01
"389",1896,"these",4.12
"390",1897,"these",4.1
"391",1898,"these",4.1
"392",1899,"these",4.17
"393",1900,"these",4.17
"394",1901,"these",4.19
"395",1902,"these",4.09
"396",1903,"these",3.99
"397",1904,"these",4.02
"398",1905,"these",4.1
"399",1906,"these",4.08
"400",1907,"these",4.15
"401",1908,"these",4.15
"402",1909,"these",4.23
"403",1910,"these",4.2
"404",1911,"these",4.12
"405",1912,"these",4.22
"406",1913,"these",4.28
"407",1914,"these",4.31
"408",1915,"these",4.33
"409",1916,"these",4.25
"410",1917,"these",3.99
"411",1918,"these",4.07
"412",1919,"these",4.06
"413",1920,"these",4.14
"414",1921,"these",4.24
"415",1922,"these",4.29
"416",1923,"these",4.31
"417",1924,"these",4.3
"418",1925,"these",4.3
"419",1926,"these",4.41
"420",1927,"these",4.45
"421",1928,"these",4.45
"422",1929,"these",4.42
"423",1930,"these",4.36
"424",1931,"these",4.36
"425",1932,"these",4.37
"426",1933,"these",4.36
"427",1934,"these",4.38
"428",1935,"these",4.32
"429",1936,"these",4.28
"430",1937,"these",4.22
"431",1938,"these",4.17
"432",1939,"these",4.4
"433",1940,"these",4.67
"434",1941,"these",4.61
"435",1942,"these",4.48
"436",1943,"these",4.47
"437",1944,"these",4.52
"438",1945,"these",4.48
"439",1946,"these",4.47
"440",1947,"these",4.5
"441",1948,"these",4.53
"442",1949,"these",4.25
