No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8119,1.06,69,283,4.03
2,have,11172,1.46,44,295,2.92
3,from,18808,2.45,36,300,1.87
4,which,25784,3.36,45,300,1.74
5,that,27504,3.59,47,296,1.71
6,are,17272,2.25,22,294,1.29
7,to,61416,8.01,65,301,1.02
8,the,283287,36.96,238,304,0.69
9,be,25626,3.34,21,299,0.65
10,to,61416,8.01,42,301,0.39
11,in,74291,9.69,50,303,0.37
12,of,178809,23.33,102,304,0.13
13,the,283287,36.96,123,304,-0.27
14,and,74498,9.72,32,304,-0.28
15,and,74498,9.72,31,304,-0.33
16,of,178809,23.33,64,304,-0.54
