No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,3358,0.47,26,187,3.79
2,some,2429,0.34,16,203,3.56
3,have,5640,0.79,23,209,2.86
4,are,6107,0.86,15,203,2.13
5,been,4030,0.56,9,205,1.99
6,which,13252,1.86,28,219,1.91
7,i,9549,1.34,18,217,1.75
8,that,14448,2.02,24,219,1.57
9,this,9269,1.30,11,213,1.08
10,from,9599,1.34,11,220,1.03
11,with,9370,1.31,10,212,0.93
12,it,14677,2.06,15,219,0.87
13,to,30718,4.30,31,230,0.85
14,of,71442,10.01,61,237,0.61
15,in,28125,3.94,24,230,0.61
16,to,30718,4.30,25,230,0.54
17,the,116131,16.27,83,237,0.35
18,and,32257,4.52,21,234,0.22
19,a,26270,3.68,17,233,0.21
20,the,116131,16.27,52,237,-0.32
21,of,71442,10.01,30,237,-0.42
22,and,32257,4.52,13,234,-0.48
