No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8218,0.84,67,189,4.31
2,are,21572,2.22,34,189,1.94
3,that,28215,2.90,41,190,1.82
4,which,19929,2.05,26,189,1.67
5,be,24004,2.46,27,190,1.45
6,from,18946,1.95,21,190,1.43
7,to,58649,6.02,58,190,1.27
8,the,289645,29.74,199,190,0.74
9,to,58649,6.02,37,190,0.62
10,of,155479,15.96,78,190,0.29
11,in,79290,8.14,34,190,0.06
12,a,67293,6.91,25,190,-0.14
13,the,289645,29.74,107,190,-0.15
14,of,155479,15.96,44,190,-0.54
