No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,3039,0.36,27,191,4.22
2,some,2356,0.28,11,207,3.29
3,have,4789,0.57,15,213,2.71
4,we,2620,0.31,8,174,2.67
5,other,2746,0.33,8,205,2.61
6,are,5284,0.63,12,211,2.25
7,which,11762,1.41,22,226,1.97
8,i,9239,1.10,12,224,1.44
9,this,8697,1.04,11,221,1.40
10,that,13172,1.57,16,225,1.35
11,to,28151,3.37,26,237,0.95
12,in,25981,3.11,19,239,0.61
13,of,62941,7.52,46,243,0.61
14,by,11841,1.42,8,233,0.50
15,to,28151,3.37,19,237,0.50
16,the,107864,12.89,72,243,0.48
17,it,13664,1.63,9,226,0.46
18,and,30091,3.60,16,241,0.15
19,a,24595,2.94,10,238,-0.23
20,and,30091,3.60,11,241,-0.39
21,the,107864,12.89,39,243,-0.40
22,of,62941,7.52,22,243,-0.45
