No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,recorded,89,0.02,11,35,7.14
2,known,392,0.09,10,106,4.87
3,appear,656,0.14,10,134,4.12
4,these,5014,1.10,46,191,3.39
5,now,1455,0.32,12,175,3.24
6,some,2229,0.49,15,189,2.94
7,i,8459,1.85,37,197,2.32
8,will,2629,0.57,10,182,2.12
9,have,6245,1.36,23,197,2.07
10,which,14359,3.14,46,203,1.87
11,but,5356,1.17,12,197,1.36
12,are,8089,1.77,18,204,1.35
13,that,14254,3.12,30,199,1.27
14,not,5643,1.23,10,199,1.02
15,from,11141,2.43,19,201,0.96
16,to,32915,7.19,54,209,0.91
17,it,12991,2.84,21,204,0.89
18,be,11463,2.51,18,205,0.84
19,this,9249,2.02,14,199,0.79
20,with,12126,2.65,18,208,0.76
21,are,8089,1.77,12,204,0.76
22,the,149593,32.69,204,210,0.64
23,in,39443,8.62,53,210,0.62
24,to,32915,7.19,43,209,0.58
25,or,7707,1.68,10,203,0.57
26,with,12126,2.65,15,208,0.50
27,as,12677,2.77,15,207,0.44
28,and,38157,8.34,42,210,0.33
29,by,17151,3.75,18,209,0.26
30,of,88046,19.24,91,210,0.24
31,on,11701,2.56,12,209,0.23
32,as,12677,2.77,11,207,-0.01
33,by,17151,3.75,13,209,-0.21
34,and,38157,8.34,28,210,-0.25
35,a,27582,6.03,19,209,-0.34
36,the,149593,32.69,96,210,-0.45
37,in,39443,8.62,24,210,-0.52
38,a,27582,6.03,16,209,-0.59
39,of,88046,19.24,43,210,-0.84
