No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,11337,1.60,104,267,4.02
2,have,14897,2.10,38,270,2.18
3,are,27111,3.82,52,268,1.77
4,which,32385,4.57,58,270,1.67
5,that,41711,5.88,62,270,1.40
6,with,31504,4.44,46,270,1.37
7,from,26147,3.69,37,270,1.33
8,to,86660,12.22,110,271,1.17
9,it,32365,4.56,41,270,1.17
10,as,37248,5.25,37,270,0.82
11,be,34725,4.90,34,270,0.80
12,the,432703,61.02,413,271,0.76
13,to,86660,12.22,68,271,0.48
14,in,105572,14.89,75,271,0.33
15,of,242086,34.14,161,272,0.24
16,and,103100,14.54,54,272,-0.11
17,the,432703,61.02,188,271,-0.38
18,of,242086,34.14,101,272,-0.44
19,and,103100,14.54,36,272,-0.69
20,in,105572,14.89,33,271,-0.85
