No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5679,1.19,66,215,3.80
2,some,2338,0.49,18,215,3.20
3,i,9259,1.93,36,219,2.22
4,have,7178,1.50,27,223,2.17
5,which,16703,3.49,59,227,2.08
6,been,4495,0.94,13,222,1.79
7,are,9698,2.03,26,226,1.68
8,from,13289,2.77,28,225,1.33
9,that,16384,3.42,34,226,1.31
10,as,15156,3.16,25,230,0.98
11,to,38511,8.04,59,232,0.88
12,or,9265,1.93,14,225,0.86
13,it,15373,3.21,21,228,0.71
14,this,10412,2.17,14,225,0.69
15,the,180187,37.63,235,234,0.64
16,by,19369,4.04,25,232,0.63
17,with,13769,2.88,17,231,0.56
18,in,47204,9.86,56,234,0.51
19,to,38511,8.04,45,232,0.48
20,on,13539,2.83,15,232,0.41
21,of,107498,22.45,118,234,0.39
22,with,13769,2.88,15,231,0.38
23,and,46028,9.61,43,234,0.16
24,be,14124,2.95,13,229,0.14
25,by,19369,4.04,17,232,0.07
26,a,32561,6.80,28,231,0.04
27,a,32561,6.80,20,231,-0.44
28,the,180187,37.63,110,234,-0.45
29,in,47204,9.86,27,234,-0.55
30,and,46028,9.61,26,234,-0.56
31,of,107498,22.45,56,234,-0.68
