No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,10354,1.42,86,262,3.92
2,all,5972,0.82,29,262,3.14
3,have,12776,1.76,42,268,2.58
4,which,25269,3.48,68,278,2.29
5,i,11740,1.62,24,254,1.89
6,that,31286,4.31,47,271,1.45
7,be,23747,3.27,35,276,1.42
8,with,26053,3.58,35,275,1.29
9,to,68093,9.37,84,279,1.16
10,are,23516,3.24,29,276,1.16
11,by,27397,3.77,29,277,0.94
12,it,24663,3.39,26,276,0.94
13,as,28627,3.94,28,276,0.83
14,by,27397,3.77,26,277,0.79
15,the,336662,46.33,299,279,0.69
16,in,85282,11.74,64,279,0.45
17,to,68093,9.37,49,279,0.39
18,of,186203,25.62,127,279,0.31
19,the,336662,46.33,141,279,-0.39
20,of,186203,25.62,74,279,-0.47
21,and,87375,12.02,34,278,-0.50
22,a,67481,9.29,24,278,-0.63
23,and,87375,12.02,30,278,-0.68
